127.0.0.1 - - [11/Feb/2022:16:29:50 +0900] "GET / HTTP/1.1" 200 42750
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET / HTTP/1.1" 200 42750
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/quill/quill.bubble.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/quill/quill.snow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/simple-datatables/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/img/product-1.jpg HTTP/1.1" 200 17719
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/quill/quill.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/img/product-3.jpg HTTP/1.1" 200 14432
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/img/product-2.jpg HTTP/1.1" 200 28529
0:0:0:0:0:0:0:1 - - [11/Feb/2022:16:31:16 +0900] "GET /assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 304 -
